Vehicle,Manufacturer,Model,Transmission Type,CC,Year,Car Age,Usage Origin,Price,Price Range
Honda Vezel,Honda,Vezel,Automatic,1500.0,2017,7,Foreign Used,2689999.0,2M-3M
Toyota Fielder,Toyota,Fielder,Automatic,1500.0,2017,7,Kenyan Used,1689999.0,1M-2M
Mercedes Benz C200,Mercedes Benz,C200,Automatic,1800.0,2010,14,Kenyan Used,1499999.0,1M-2M
Toyota Kluger,Toyota,Kluger,Automatic,3500.0,2003,21,Kenyan Used,879999.0,500k-1M
Mercedes Benz C250,Mercedes Benz,C250,Automatic,2000.0,2017,7,Foreign Used,4649999.0,3M-5M
Audi A5,Audi,A5,Automatic,2000.0,2017,7,Foreign Used,4449999.0,3M-5M
Bmw X4,Bmw,X4,Automatic,2000.0,2016,8,Foreign Used,5099999.0,5M-10M
Land Rover Discovery V,Land Rover,Discovery V,Automatic,3000.0,2017,7,Foreign Used,9499999.0,5M-10M
Toyota Premio,Toyota,Premio,Automatic,1800.0,2008,16,Kenyan Used,799999.0,500k-1M
Nissan Note,Nissan,Note,Automatic,1200.0,2012,12,Kenyan Used,679999.0,500k-1M
Mitsubishi Outlander,Mitsubishi,Outlander,Automatic,2000.0,2017,7,Kenyan Used,3749999.0,3M-5M
Suzuki Swift,Suzuki,Swift,Automatic,1200.0,2012,12,Kenyan Used,619999.0,500k-1M
Toyota Auris,Toyota,Auris,Automatic,1500.0,2008,16,Kenyan Used,785000.0,500k-1M
Mazda Axela,Mazda,Axela,Automatic,1500.0,2011,13,Kenyan Used,619999.0,500k-1M
Bmw X5,Bmw,X5,Automatic,3000.0,2014,10,Kenyan Used,4749999.0,3M-5M
Mitsubishi Rvr,Mitsubishi,Rvr,Automatic,1800.0,2011,13,Kenyan Used,1379999.0,1M-2M
Honda Vezel,Honda,Vezel,Automatic,1500.0,2017,7,Foreign Used,2699999.0,2M-3M
Toyota Probox,Toyota,Probox,Automatic,1500.0,2019,5,Kenyan Used,1449999.0,1M-2M
Toyota Landcruiser Prado Tx,Toyota,Landcruiser Prado Tx,Automatic,2700.0,2007,17,Kenyan Used,2199999.0,2M-3M
Mazda Cx3,Mazda,Cx3,Automatic,2000.0,2017,7,Foreign Used,2649999.0,2M-3M
Bmw X1,Bmw,X1,Automatic,2000.0,2014,10,Kenyan Used,1999999.0,1M-2M
Toyota Corolla 100,Toyota,Corolla 100,Manual,1500.0,1992,32,Kenyan Used,329999.0,0-500k
Volkswagen Tiguan,Volkswagen,Tiguan,Automatic,2000.0,2013,11,Kenyan Used,1749999.0,1M-2M
Bmw 530I,Bmw,530I,Automatic,2000.0,2017,7,Foreign Used,4599999.0,3M-5M
Toyota Nze,Toyota,Nze,Automatic,1800.0,2000,24,Kenyan Used,449999.0,0-500k
Toyota Allion,Toyota,Allion,Automatic,1800.0,2008,16,Kenyan Used,829999.0,500k-1M
Audi A5,Audi,A5,Automatic,2000.0,2013,11,Kenyan Used,2049999.0,2M-3M
Bmw 116I,Bmw,116I,Automatic,1600.0,2014,10,Kenyan Used,1299999.0,1M-2M
Volvo V60,Volvo,V60,Automatic,1600.0,2015,9,Kenyan Used,1699999.0,1M-2M
Nissan Xtrail,Nissan,Xtrail,Automatic,2000.0,2017,7,Foreign Used,3149999.0,3M-5M
Mercedes Benz A180,Mercedes Benz,A180,Automatic,1500.0,2012,12,Kenyan Used,849999.0,500k-1M
Mazda Demio,Mazda,Demio,Automatic,1300.0,2017,7,Foreign Used,1349999.0,1M-2M
Lexus Rx450H,Lexus,Rx450H,Automatic,3500.0,2010,14,Kenyan Used,2149999.0,2M-3M
Volkswagen Golf Gli,Volkswagen,Golf Gli,Automatic,1600.0,1996,28,Kenyan Used,349999.0,0-500k
Volkswagen Golf R,Volkswagen,Golf R,Automatic,2000.0,2017,7,Foreign Used,3649999.0,3M-5M
Nissan Juke,Nissan,Juke,Automatic,1500.0,2015,9,Kenyan Used,1499999.0,1M-2M
Daihatsu Mira,Daihatsu,Mira,Automatic,660.0,2017,7,Foreign Used,849999.0,500k-1M
