Model,Transimission_Type,Year,CC,Usage Origin,Price
Honda Vezel,Automatic,2017,1500 CC,Foreign Used,"KES 2,689,999"
Toyota Fielder,Automatic,2017,1500 CC,Kenyan Used,"KES 1,689,999"
Mercedes Benz C200,Automatic,2010,1800 CC,Kenyan Used,"KES 1,499,999"
Toyota Kluger,Automatic,2003,3500 CC,Kenyan Used,"KES 879,999"
Mercedes Benz C250,Automatic,2017,2000 CC,Foreign Used,"KES 4,649,999"
Audi A5,Automatic,2017,2000 CC,Foreign Used,"KES 4,449,999"
BMW X4,Automatic,2016,2000 CC,Foreign Used,"KES 5,099,999"
Landrover Discovery V,Automatic,2017,3000 CC,Foreign Used,"KES 9,499,999"
Toyota Premio,Automatic,2008,1800 CC,Kenyan Used,"KES 799,999"
Nissan Note,Automatic,2012,1200 CC,Kenyan Used,"KES 679,999"
Mitsubishi Outlander,Automatic,2017,2000 CC,Kenyan Used,"KES 3,749,999"
Suzuki Swift,Automatic,2012,1200 CC,Kenyan Used,"KES 619,999"
Toyota Auris,Automatic,2008,1500 CC,Kenyan Used,"KES 785,000"
Mazda Axela,Automatic,2011,1500 CC,Kenyan Used,"KES 619,999"
BMW X5,Automatic,2014,3000 CC,Kenyan Used,"KES 4,749,999"
Mitsubishi RVR,Automatic,2011,1800 CC,Kenyan Used,"KES 1,379,999"
Honda Vezel,Automatic,2017,1500 CC,Foreign Used,"KES 2,699,999"
Toyota Probox,Automatic,2019,1500 CC,Kenyan Used,"KES 1,449,999"
Toyota Landcruiser Prado TX,Automatic,2007,2700 CC,Kenyan Used,"KES 2,199,999"
Mazda CX3,Automatic,2017,2000 CC,Foreign Used,"KES 2,649,999"
BMW X1,Automatic,2014,2000 CC,Kenyan Used,"KES 1,999,999"
Toyota Landcruiser Prado TX,Automatic,2007,2700 CC,Kenyan Used,"KES 2,199,999"
Toyota Corolla 100,Manual,1992,1500 CC,Kenyan Used,"KES 329,999"
Volkswagen Tiguan,Automatic,2013,2000 CC,Kenyan Used,"KES 1,749,999"
BMW 530i,Automatic,2017,2000 CC,Foreign Used,"KES 4,599,999"
Toyota NZE,Automatic,2000,1800 CC,Kenyan Used,"KES 449,999"
